STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM,MOA_URL,ADDENDUM_URL
ALABAMA,Lawrence County Sheriff's Office,County,Lawrence County,Task Force Model,2025-06-18,link,,https://www.ice.gov/doclib/287gMOA/LawrenceCoSheriffsOfficeAL_TFM_MOA_06182025.pdf,
ALABAMA,Lawrence County Sheriff's Office,County,Lawrence County,Warrant Service Officer,2025-06-30,link,,https://www.ice.gov/doclib/287gMOA/LawrenceCoSheriffsOfficeAL_WSO_MOA_06302025.pdf,
ALABAMA,Level Plains Police Department,Municipality,,Task Force Model,2025-06-18,link,,https://www.ice.gov/doclib/about/offices/ero/287g/LevelPlainsPD-AL-TFM-MOA-07302025.pdf,
ALABAMA,Limestone County Sheriff's Office,County,Limestone County,Task Force Model,2025-06-11,link,,https://www.ice.gov/doclib/287gMOA/LimestoneCoSheriffsOfficeAL_TFM_MOA_06112025.pdf,
ALABAMA,Limestone County Sheriff's Office,County,Limestone County,Warrant Service Officer,2025-05-22,link,,https://www.ice.gov/doclib/287gMOA/LimestoneCoSheriffsOfficeAL_WSO_MOA_05.22.25.pdf,
ALABAMA,Littleville Police Department,Municipality ,Colbert County,Task Force Model,2026-02-10,link pending,,,
ALABAMA,Loxley Police Department,Municipality,Baldwin County ,Task Force Model,2026-01-07,link,,https://www.ice.gov/doclib/287gMOA/LoxleyPoliceDeptAL_TFM_MOA_01072026.pdf,
ALABAMA,Margaret Police Department,Municipality,St. Clair County,Task Force Model,2025-12-17,link,,https://www.ice.gov/doclib/287gMOA/MargaretPDAL_TFM_MOA12172025.pdf,
ALABAMA,Marion County Sheriff's Office,County,Marion County,Jail Enforcement Model,2025-07-23,link,,https://www.ice.gov/doclib/287gMOA/MarionCoSheriffsOfficeAL_JEM_MOA_07232025.pdf,
ALABAMA,Marion County Sheriff's Office,County,Marion County,Task Force Model,2025-06-12,link,,https://www.ice.gov/doclib/287gMOA/MarionCoSheriffsOfficeAL_TFM_MOA_06122025.pdf,
ALABAMA,Marion County Sheriff's Office,County,Marion County,Warrant Service Officer,2025-07-23,link,,https://www.ice.gov/doclib/287gMOA/MarionCoSheriffsOfficeAL_WSO_MOA_07232025.pdf,
ALABAMA,Marshall County Sheriff's Office ,County ,Marshall County,Jail Enforcement Model ,2025-09-22,link,,https://www.ice.gov/doclib/287gMOA/MarshallCoSheriffsOfficeAL_JEM_MOA_09222025.pdf,
ALABAMA,Mobile County Sheriff's Office ,County ,Mobile County,Task Force Model,2025-07-23,link,,https://www.ice.gov/doclib/287gMOA/MobileCoSheriffsOfficeAL_TFM_MOA_07232025.pdf,
ALABAMA,Monroe County Sheriff's Office ,County ,Monroe County,Task Force Model,2025-11-04,link,,https://www.ice.gov/doclib/287gMOA/MonroeCountySheriffsOfficeAL_TFM_MOA_11042025.pdf,
ALABAMA,Robertsdale Police Department,Municipality,Baldwin County,Task Force Model,2025-12-17,link,,https://www.ice.gov/doclib/287gMOA/RobertsdalePDAL_TFM_MOA_12172025.pdf,
ALABAMA,Semmes Police Department ,Municipality,Mobile County ,Task Force Model,2025-11-14,link,,https://www.ice.gov/doclib/287gMOA/SemmesPoliceDeptAL_TFM_MOA_11142025.pdf,
ALABAMA,Silverhill Police Department ,Municipality,Baldwin County,Task Force Model,2025-10-17,link,,https://www.ice.gov/doclib/287gMOA/SilverhillPoliceDepartmentAL_TFM_MOA_10172025.pdf,
ALABAMA,Southside Police Department,Municipality,Etowah County,Task Force Model,2026-01-08,link,,https://www.ice.gov/doclib/287gMOA/SouthsidePoliceDeptAL_TFM_MOA_01082026.pdf,
ALABAMA,Summerdale Police Department ,Municipality ,Baldwin County,Task Force Model,2025-12-10,link,,https://www.ice.gov/doclib/287gMOA/SummerdalePDAL_TFM_WSO_12102025.pdf,
ALABAMA,Washington County Sheriff's Office,County ,Washington County,Task Force Model,2025-10-17,link,,https://www.ice.gov/doclib/287gMOA/WashingtonCoSheriffsOfficeAL_TFM_MOA_10172025.pdf,
ALASKA,Alaska Department of Corrections,State Agency,,Warrant Service Officer,2020-07-24,link,,https://www.ice.gov/doclib/287gMOA/287gWSO_DeptOfCorrectionsAK_07-24-2020.pdf,
ALASKA,Kodiak Police Department,Municipality,,Warrant Service Officer,2020-07-20,link,,https://www.ice.gov/doclib/287gMOA/287gWSO_KodiakAk2020-07-20.pdf,
ARIZONA,Arizona Department of Corrections,State Agency,,Jail Enforcement Model,2020-06-16,link,,https://www.ice.gov/doclib/287gMOA/287gJEM_ArizDOC_AZ_06-16-2020.pdf,
ARIZONA,Cochise County Sheriff's Office ,County ,Cochise County,Warrant Service Officer,2025-08-28,link,,https://www.ice.gov/doclib/287gMOA/CochiseCoSheriffsOfficeAZ_WSO_MOA_08282025.pdf,
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Jail Enforcement Model,2020-03-12,link,,https://www.ice.gov/doclib/287gMOA/287gJEM_LaPazCoAZ2020-03-12.pdf,
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Warrant Service Officer,2020-02-27,link,,https://www.ice.gov/doclib/287gMOA/287gWSO_LaPazCoAz2020-02-27.pdf,
ARIZONA,Mesa Police Department,Municipality,,Jail Enforcement Model,2020-06-08,link,,https://www.ice.gov/doclib/287gMOA/287gJEM_MesaPoliceDeptAZ_06-08-2020.pdf,
ARIZONA,Navajo County Sheriff's Office,County,Navajo County,Warrant Service Officer,2025-04-16,link,,https://www.ice.gov/doclib/287gMOA/NavajoCoAZ_WSO_MOA_04.16.2025.pdf,
ARIZONA,Pinal County Attorney's Office,County,Pinal County,Task Force Model,2025-08-28,link,,https://www.ice.gov/doclib/287gMOA/PinalCountyAOAZ_TFM_MOA_08282025.pdf,
ARIZONA,Pinal County Sheriff's Office,County,Pinal County,Jail Enforcement Model,2020-06-09,link,,https://www.ice.gov/doclib/287gMOA/287gJEM_PinalCoAz2020-06-09.pdf,
ARIZONA,Yavapai County Sheriff's Office,County,Yavapai County,Jail Enforcement Model,2020-06-09,link,,https://www.ice.gov/doclib/287gMOA/287gJEM_YvapaiCoAZ2020-06-09.pdf,
ARIZONA,Yuma County Sheriff's Office,County,Yuma County,Warrant Service Officer,2025-06-03,link,,https://www.ice.gov/doclib/287gMOA/YumaCoSheriffsOfficeAZ_WSO_MOA_06.03.25.pdf,
ARKANSAS,16th Judicial Distric Drug Task Force,State Agency,Independence County ,Task Force Model,2025-09-22,link,,https://www.ice.gov/doclib/287gMOA/16thJudicialDistrictDrugTask%20Force%20AR_TFM_MOA_09222025.pdf,
ARKANSAS,Arkansas Department of Corrections,State Agency,Pulaksi County,Jail Enforcement Model ,2025-12-02,link,,https://www.ice.gov/doclib/287gMOA/DeptOfCorrectionsAR_JEM_MOA_12022025.pdf,
ARKANSAS,Arkansas Department of Corrections,State Agency,Pulaksi County,Warrant Service Officer,2025-12-02,link,,https://www.ice.gov/doclib/287gMOA/DeptOfCorrectionsAR_WSO_MOA_12022025.pdf,
ARKANSAS,Arkansas Division of Law Enforcement Standards and Training,State,Pulaski County,Task Force Model,2026-02-10,link pending,,,
ARKANSAS,Arkansas National Guard,State Agency,,Task Force Model,2025-11-04,link,,https://www.ice.gov/doclib/287gMOA/ArkansasNationalGuardAR_TFM_MOA11042025.pdf,
ARKANSAS,Arkansas State Police Department,State Agency,,Task Force Model,2025-07-07,link,,https://www.ice.gov/doclib/about/offices/ero/287g/ArkansasStatePoliceTFM-07302025.pdf,
ARKANSAS,Baxter County Sheriff's Office ,County,Baxter County,Task Force Model,2025-07-15,link,,https://www.ice.gov/doclib/287gMOA/BaxterCoSheriffsOfficeAR_TFM_MOA_07152025.pdf,
ARKANSAS,Baxter County Sheriff's Office ,County,Baxter County,Warrant Service Officer,2025-07-15,link,,https://www.ice.gov/doclib/287gMOA/BaxterCoSheriffsOfficeAR_WSO_MOA_07152025.pdf,
ARKANSAS,Benton County Sheriff's Office,County,Benton County,Jail Enforcement Model,2020-06-30,link,,https://www.ice.gov/doclib/287gMOA/287gJEM_BentonCoAR_06-30-2020.pdf,
ARKANSAS,Black Rock Police Department,Municipality ,Lawrence County,Task Force Model,2026-02-10,link pending,,,
ARKANSAS,Calhoun County Sheriff's Office,County,Calhoun County,Task Force Model,2026-01-07,link,,https://www.ice.gov/doclib/287gMOA/CalhounCoSheriffsOfficeAR_TFM_MOA_01072026.pdf,
ARKANSAS,Calhoun County Sheriff's Office,County,Calhoun County,Warrant Service Officer,2026-01-07,link,,https://www.ice.gov/doclib/287gMOA/CalhounCoSheriffsOfficeAR_WSO_MOA_01072026.pdf,
ARKANSAS,Cash Police Department ,Municipality,Craighead County ,Task Force Model,2025-11-06,link,,https://www.ice.gov/doclib/287gMOA/CashPoliceDeptAR_TFM_MOA_11062025.pdf,
ARKANSAS,Craighead County Sheriff's Office,County,Craighead County,Jail Enforcement Model,2020-06-18,link,,https://www.ice.gov/doclib/287gMOA/287gJEM_CraigheadCoAR_06-18-2020.pdf,
ARKANSAS,Crawford County Sheriff's Office,County ,Crawford County,Warrant Service Officer,2025-07-25,link,,https://www.ice.gov/doclib/287gMOA/CrawfordCoSheriffsOfficeAR_WSO_MOA_07252025.pdf,
ARKANSAS,Dallas County Sheriff's Office,County ,Dallas County,Task Force Model,2025-09-09,link,,https://www.ice.gov/doclib/287gMOA/DallasCoSheriffsOfficeAR_TFM_MOA_09092025.pdf,
ARKANSAS,Dallas County Sheriff's Office,County ,Dallas County,Warrant Service Officer,2025-09-09,link,,https://www.ice.gov/doclib/287gMOA/DallasCoSheriffsOfficeAR_WSO_MOA_09092025.pdf,
ARKANSAS,Faulkner County Sheriff's Office ,County ,Faulkner County,Warrant Service Officer,2025-08-28,link,,https://www.ice.gov/doclib/287gMOA/FaulknerCoSOAR_WSO_MOA_08282025.pdf,
ARKANSAS,Fordyce Police Department ,Municipality,,Task Force Model,2025-08-28,link,,https://www.ice.gov/doclib/287gMOA/FordycePDAR_TFM_MOA_08282025.pdf,
ARKANSAS,Garland County Sheriff's Office,County ,Garland County,Jail Enforcement Model ,2025-09-22,link,,https://www.ice.gov/doclib/287gMOA/GarlandCoSheriffsOfficeAR_JEM_MOA_09222025.pdf,
ARKANSAS,Gurdon Police Department ,Municipality,Clark County,Task Force Model,2025-12-12,link,,https://www.ice.gov/doclib/287gMOA/GurdonPDAT_TFM_MOA_12122025.pdf,
ARKANSAS,Hampton Police Department,Municipality,,Task Force Model,2025-06-30,link,,https://www.ice.gov/doclib/287gMOA/HamptonPoliceDeptAR_TFM_MOA_06302025.pdf,
ARKANSAS,Independence County Sheriff's Office ,County ,Independence County ,Jail Enforcement Model ,2025-10-17,link,,https://www.ice.gov/doclib/287gMOA/IndependenceCoSheriffsOfficeAR_JEM_MOA_10172025.pdf,
ARKANSAS,Izard County Sheriff's Office,County ,Izard County,Jail Enforcement Model ,2025-11-04,link,,https://www.ice.gov/doclib/287gMOA/IzardCoSheriffsOfficeAR_JEM_MOA_11042025.pdf,
ARKANSAS,Jackson County Sheriff's Office ,County,Jackson County,Task Force Model,2026-01-26,link pending,,,
ARKANSAS,Johnson County Sheriff's Office,County,Johnson County ,Warrant Service Officer,2025-07-18,link,,https://www.ice.gov/doclib/287gMOA/JohnsonCoSheriffsOfficeAR_WSO_MOA_07182025.pdf,
ARKANSAS,Lafayette County Sheriff's Office ,County,Lafayette County,Task Force Model,2025-08-06,link,,https://www.ice.gov/doclib/287gMOA/LafayetteCoSOAR_TFM_MOA_08062025.pdf,
ARKANSAS,Lafayette County Sheriff's Office ,County,Lafayette County,Warrant Service Officer,2025-07-11,link,,https://www.ice.gov/doclib/287gMOA/LafayetteCoSheriffsOfficeAR_WSO_MOA_07112025.pdf,
ARKANSAS,Little River County Sheriff's Office,County,Little River County,Jail Enforcement Model,2025-07-07,link,,https://www.ice.gov/doclib/287gMOA/LittleRiverCoSheriffsOfficeAR_JEM_MOA_07072025.pdf,
ARKANSAS,Little River County Sheriff's Office,County,Little River County,Warrant Service Officer,2025-07-07,link,,https://www.ice.gov/doclib/287gMOA/LittleRiverCoSheriffsOfficeAR_WSO_MOA_07072025.pdf,
ARKANSAS,Madison County Sheriff's Office ,County ,Madison County,Warrant Service Officer,2025-10-17,link,,https://www.ice.gov/doclib/287gMOA/MadisonCoSheriffsOfficeAR_WSO_MOA_10172025.pdf,
ARKANSAS,Miller County Sheriff's Office,County,Miller County,Task Force Model,2025-07-11,link,,https://www.ice.gov/doclib/287gMOA/MillerCoSheriffsOfficeAR_TFM_MOA_07112025.pdf,
ARKANSAS,Osceola Police Department ,Municipality,Mississippi County,Task Force Model,2025-08-28,link,,https://www.ice.gov/doclib/287gMOA/OsceolaPDAR_TFM_MOA_08282025.pdf,
ARKANSAS,Pope County Sheriff's Office,County,Pop County,Warrant Service Officer,2025-12-17,link,,https://www.ice.gov/doclib/287gMOA/PopeCoSOAR_WSO_MOA_12172025.pdf,
ARKANSAS,Pulaski County Sheriff's Office,County ,Pulaski County,Warrant Service Officer,2025-09-09,link,,https://www.ice.gov/doclib/287gMOA/PulaskiCoSheriffsOfficeAR_WSO_MOA_09092025.pdf,
ARKANSAS,Saline County Sheriff's Office,County,Saline County,Warrant Service Officer,2025-06-12,link,,https://www.ice.gov/doclib/287gMOA/SalineCoSheriffsOfficeAR_WSO_MOA_06122025.pdf,
ARKANSAS,Sebastian County Sheriff's Office ,County,Sebastian County ,Warrant Service Officer,2025-07-18,link,,https://www.ice.gov/doclib/287gMOA/SebastianCoSheriffsOfficeAR_WSO_MOA_07182025.pdf,
ARKANSAS,Texarkana Police Department,Municipality,Bowie County,Task Force Model,2025-07-11,link,,https://www.ice.gov/doclib/287gMOA/TexarkanaPoliceDeptAR_TFM_MOA_07112025.pdf,
ARKANSAS,Tuckerman Police Department,Municipality,Jackson County,Task Force Model,2026-01-08,link,,https://www.ice.gov/doclib/287gMOA/TuckermanPoliceDeptAR_TFM_MOA_01082026.pdf,
ARKANSAS,Washington County Sheriff's Office,County ,Washington County,Warrant Service Officer,2025-07-29,link,,https://www.ice.gov/doclib/287gMOA/WashingtonCountySOAR_WSO_MOA.pdf,
COLORADO,Teller County Sheriff's Office,County,Teller County,Jail Enforcement Model,2020-06-08,link,,https://www.ice.gov/doclib/287gMOA/287gJEM_TellerCoCo2020-06-08.pdf,
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Task Force Model,2025-02-26,link,,https://www.ice.gov/doclib/287gMOA/AlachuaCoSheriffsOfficeFL_TFM_MOA_02262025.pdf,
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Warrant Service Officer,2025-02-24,link,link,https://www.ice.gov/doclib/287gMOA/alachuaCoSheriffsOffice_WSO_MOA_02242025.pdf,https://www.ice.gov/doclib/287gMOA/AlachuaCoSheriffsOfficeFL_WSO_MOA_06252025.pdf
FLORIDA,Alachua Police Department,Municipality,Alachua County,Task Force Model,2025-07-02,link,,https://www.ice.gov/doclib/287gMOA/Alachua_PD_FL_signed_7_2_25.pdf,
FLORIDA,Altamonte Springs Police Department,Municipality,Seminole County,Task Force Model,2025-08-28,link,,https://www.ice.gov/doclib/287gMOA/AltamonteSpringsPDFL_TFM_MOA_08282025.pdf,
FLORIDA,Apopka Police Department,Municipality,,Task Force Model,2025-07-02,link,,https://www.ice.gov/doclib/287gMOA/Apopka_PD_FL_signed_7_2_2025.pdf,
FLORIDA,Arcadia Police Department,Municipality,,Task Force Model,2025-03-05,link,,https://www.ice.gov/doclib/287gMOA/ArcadiaPDFL_TFM_MOA_030425.pdf,
FLORIDA,Atlantic Beach Police Department,Municipality,,Task Force Model,2025-07-02,link,,https://www.ice.gov/doclib/287gMOA/AtlanticBeachPD_7.2.2025.pdf,
FLORIDA,Atlantis Police Department,Municipality,,Task Force Model,2025-07-02,link,,https://www.ice.gov/doclib/287gMOA/AtlantisPDFL_7.2.2025.pdf,
FLORIDA,Auburndale Police Department,Municipality,,Task Force Model,2025-04-24,link,,https://www.ice.gov/doclib/287gMOA/AuburndalePoliceDeptFL_TFM_MOA_04242025.pdf,
FLORIDA,Baker County Sheriff's Office,County,Baker County,Task Force Model,2025-02-26,link,,https://www.ice.gov/doclib/287gMOA/BakerCoSheriffsOfficeFL_TFM_MOA_02262025.pdf,
FLORIDA,Baker County Sheriff's Office,County,Baker County,Warrant Service Officer,2019-10-15,link,,https://www.ice.gov/doclib/287gMOA/287gWSO_BakerCoFl2019-10-15.pdf,
FLORIDA,Bartow Police Department,Municipality,,Task Force Model,2025-04-29,link,,https://www.ice.gov/doclib/287gMOA/BartowPDFL_TFM_MOA_042925.pdf,
FLORIDA,Bay County Sheriff's Office,County,Bay County ,Task Force Model,2025-02-26,link,,https://www.ice.gov/doclib/287gMOA/BayCoSheriffsOfficeFL_TFM_MOA_02262025.pdf,
FLORIDA,Bay County Sheriff's Office,County,Bay County,Warrant Service Officer,2019-10-15,link,link,https://www.ice.gov/doclib/287gMOA/287gWSO_BayCoFl2019-10-15.pdf,https://www.ice.gov/doclib/287gMOA/BayCoSheriffsOfficeFL_WSO_MOA_06252025.pdf
FLORIDA,Belle Isle Police Department,Municipality,,Task Force Model,2025-04-24,link,,https://www.ice.gov/doclib/287gMOA/BelleIslePoliceDeptFL_TFM_MOA_04242025.pdf,
FLORIDA,Belleair Police Department,Municipality,,Task Force Model,2025-02-28,link,,https://www.ice.gov/doclib/287gMOA/BellairePoliceDept_TFM_MOA_02.28.25%20508.pdf,
FLORIDA,Blountstown Police Department,Municipality,,Task Force Model,2025-03-05,link,,https://www.ice.gov/doclib/287gMOA/blountstownPoliceDeptFL_TFM_MOA_03.04.25.pdf,
FLORIDA,Boca Raton Police Services Department,Municipality,,Task Force Model,2025-03-25,link,,https://www.ice.gov/doclib/287gMOA/bocaRatonPoliceDeptFL_TFM_MOA_03.20.25.pdf,
FLORIDA,Boynton Beach Police Department,Municipality,,Task Force Model,2025-05-08,link,,https://www.ice.gov/doclib/287gMOA/BoyntonBeachPoliceDeptFL_TFM_MOA_05082025.pdf,
FLORIDA,Bradenton Police Department,Municipality,,Task Force Model,2025-03-25,link,,https://www.ice.gov/doclib/287gMOA/bradentonPoliceDeptFL_TFM_MOA_03.20.25.pdf,
FLORIDA,Bradford County Sheriff's Office,County,Bradford County ,Task Force Model,2025-02-26,link,,https://www.ice.gov/doclib/287gMOA/BradfordCoSheriffsOfficeFL_TFM_MOA_02262025.pdf,
FLORIDA,Bradford County Sheriff's Office,County,Bradford County ,Warrant Service Officer,2019-10-15,link,link,https://www.ice.gov/doclib/287gMOA/287gWSO_BradfordCoFl2019-10-15.pdf,https://www.ice.gov/doclib/287gMOA/BradfordCoSheriffsOfficeFL_WSO_MOA_06252025.pdf
FLORIDA,Brevard County Sheriff's Office,County,Brevard County ,Task Force Model,2025-02-24,link,,https://www.ice.gov/doclib/287gMOA/brevardCo_TFM_MOA_03.04.2025.pdf,
FLORIDA,Brevard County Sheriff's Office,County,Brevard County ,Warrant Service Officer,2019-05-06,link,link,https://www.ice.gov/doclib/287gMOA/287gWSO_BrevardCoFl2019-05-06.pdf,https://www.ice.gov/doclib/287gMOA/BrevardCoSheriffsOfficeFL_WSO_MOA_06252025.pdf
FLORIDA,Broward County Sheriff's Office,County,Broward County ,Task Force Model,2025-02-26,link,,https://www.ice.gov/doclib/287gMOA/BrowardCoSheriffsOfficeFL_TFM_MOA_02262025.pdf,
FLORIDA,Broward County Sheriff's Office,County,Broward County ,Warrant Service Officer,2019-09-09,link,link,https://www.ice.gov/doclib/287gMOA/287gWSO_BrowardCoFl2019-09-09.pdf,https://www.ice.gov/doclib/287gMOA/BrowardCoSheriffsOfficeFL_WSO_MOA_06252025.pdf
FLORIDA,Bunnell Police Department ,Municipality,Flager County,Task Force Model,2025-07-15,link,,https://www.ice.gov/doclib/287gMOA/BunnellPoliceDeptFL_TFM_MOA_07152025.pdf,
FLORIDA,Calhoun County Sheriff's Office,County,Calhoun County ,Task Force Model,2025-02-26,link,,https://www.ice.gov/doclib/287gMOA/CalhounCoSheriffsOfficeFL_TFM_MOA_02262025.pdf,
